Screen Resolution	Browser	OS	Traffic Source	Combination Id	Converted	Returning Visitor	User Language	Country
Extra Small	Chrome Mobile	Android	unknown	2	No	0	en-gb	Canada
Extra Large	Safari	Mac OS X	search_traffic	1	No	0	en-us	Canada
Extra Small	Mobile Safari	iOS	unknown	1	No	0	el-gr	Greece
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	United Kingdom
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-gb	United Kingdom
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Kuwait
Extra Large	Safari	Mac OS X	search_traffic	1	No	0	en-us	Canada
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-gb	India
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	Turkey
Extra Small	Chrome Mobile	Android	unknown	2	No	0	Other	Sweden
Extra Large	IE	Windows New	search_traffic	1	No	0	en-us	India
Extra Large	Chrome	Windows New	unknown	2	No	0	en-us	India
Medium	Mobile Safari	iOS	search_traffic	2	No	0	en-au	Australia
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	United States
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-gb	United Kingdom
Extra Large	Safari	Mac OS X	search_traffic	2	No	0	zh-tw	Taiwan
Extra Large	Chrome	Windows New	unknown	1	No	0	en-us	Albania
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Windows New	search_traffic	1	Yes	0	en	Ireland
Extra Large	Chrome	Mac OS X	search_traffic	2	No	0	en-gb	United Kingdom
Extra Large	Chrome	Mac OS X	search_traffic	1	No	0	en-us	Colombia
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	Brazil
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	New Zealand
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-au	Australia
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	Myanmar
Large	IE	Windows New	unknown	2	No	0	en-us	United States
Extra Small	Mobile Safari	iOS	unknown	2	No	0	en-ca	Canada
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Australia
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	Kuwait
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	Saudi Arabia
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	United States
Extra Small	Mobile Safari	iOS	unknown	1	No	0	en-us	Ireland
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-gb	Singapore
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	United Arab Emirates
Extra Small	Chrome Mobile iOS	iOS	search_traffic	1	No	0	en-us	Japan
Medium	Mobile Safari	iOS	search_traffic	2	No	0	en-gb	Japan
Extra Large	Chrome	Windows New	unknown	2	No	0	pt-br	Brazil
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Canada
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	Saudi Arabia
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	1	Yes	0	en-us	India
Extra Large	Chrome	Windows New	unknown	1	No	0	en-us	France
Extra Small	Opera Mini	Android	direct_traffic	2	No	0	en	United States
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Small	Puffin	Android	search_traffic	1	No	0	en-gb	United States
Extra Small	Chrome Mobile	Android	unknown	1	No	0	en-us	Other
Extra Large	Chrome	Windows New	search_traffic	1	No	0	Other	Other
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Windows New	search_traffic	2	No	0	Other	Poland
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	South Africa
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Mac OS X	search_traffic	2	No	0	en-us	Israel
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	unknown	2	No	0	es-419	Mexico
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	Qatar
Extra Large	Chrome	Windows New	direct_traffic	1	No	0	es-es	Spain
Extra Large	Chrome	Mac OS X	search_traffic	1	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Windows New	direct_traffic	2	No	0	en-us	Norway
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	Czech Republic
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	India
Extra Large	Chrome	Mac OS X	unknown	1	No	0	en-us	India
Extra Large	Chrome	Windows New	direct_traffic	1	No	0	pt-br	Brazil
Extra Small	Opera Mini	Android	direct_traffic	1	No	0	en	Europe
Extra Small	Chrome Mobile	Android	unknown	2	No	0	en-us	Ghana
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	India
Extra Large	Chrome	Windows New	unknown	2	No	0	en-us	Nigeria
Extra Small	Chrome Mobile	Android	unknown	2	No	0	en-us	Qatar
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	Albania
Extra Large	Chrome	Mac OS X	search_traffic	1	No	0	en-gb	United Kingdom
Medium	Mobile Safari	iOS	search_traffic	2	No	0	en-us	United States
Extra Small	Opera Mini	Android	direct_traffic	1	No	0	en	South Africa
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	Nepal
Extra Small	Chrome Mobile	Android	unknown	1	No	0	en-gb	India
Extra Large	IE	Windows New	search_traffic	2	No	0	en-us	Austria
Extra Large	Safari	Mac OS X	search_traffic	2	No	0	en-us	Austria
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	India
Extra Large	Other	Other	direct_traffic	1	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	2	Yes	0	en-us	India
Extra Small	Chrome Mobile	Android	unknown	1	Yes	0	en-gb	Pakistan
Extra Small	Samsung Internet	Android	search_traffic	2	Yes	0	es	United States
Extra Large	Chrome	Windows New	unknown	1	No	0	it-it	Italy
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	India
Large	Mobile Safari	iOS	search_traffic	2	No	0	en-gb	United Kingdom
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Small	Mobile Safari	iOS	unknown	2	No	0	zh-tw	Hong Kong
Extra Small	UC Browser	Android	search_traffic	1	No	0	en-us	India
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-gb	Netherlands
Extra Large	Chrome	Mac OS X	search_traffic	1	No	0	en-us	Brazil
Extra Large	Safari	Mac OS X	direct_traffic	1	No	0	en-us	Other
Large	Chrome	Windows New	search_traffic	2	No	0	en-us	Iraq
Extra Large	IE	Windows New	search_traffic	2	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	United Arab Emirates
Extra Large	Chrome	Mac OS X	search_traffic	1	No	0	fr	France
Extra Large	Chrome	Windows New	unknown	1	No	0	en-gb	India
Extra Small	Chrome Mobile	Android	unknown	1	No	0	en-us	India
Extra Large	Safari	Mac OS X	search_traffic	2	No	0	en-us	Other
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Sweden
Extra Large	Safari	Mac OS X	search_traffic	1	No	0	en-ca	Canada
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Small	Opera Mini	Other	search_traffic	2	No	0	en	United States
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-in	India
Extra Large	Chrome	Windows New	unknown	1	No	0	en-us	Poland
Extra Large	Chrome	Windows New	search_traffic	1	No	0	el	Greece
