Screen Resolution	OS	Traffic Source	Combination Id	Converted	User Language	Country
Extra Small	Android	unknown	2	No	en-gb	Canada
Extra Large	Mac OS X	search_traffic	1	No	en-us	Canada
Extra Small	iOS	unknown	1	No	el-gr	Greece
Extra Large	Windows New	search_traffic	2	No	en-us	United Kingdom
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	en-us	United States
Extra Small	Android	search_traffic	1	No	en-gb	United Kingdom
Extra Large	Windows New	search_traffic	1	No	en-us	Kuwait
Extra Large	Mac OS X	search_traffic	1	No	en-us	Canada
Extra Small	Android	direct_traffic	2	No	en-gb	India
Extra Small	iOS	search_traffic	1	No	en-us	Turkey
Extra Small	Android	unknown	2	No	sv	Sweden
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Large	Windows New	unknown	2	No	en-us	India
Medium	iOS	search_traffic	2	No	en-au	Australia
Extra Small	iOS	search_traffic	1	No	en-us	United States
Extra Small	iOS	search_traffic	1	No	en-gb	United Kingdom
Extra Large	Mac OS X	search_traffic	2	No	zh-tw	Taiwan
Extra Large	Windows New	unknown	1	No	en-us	Albania
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	1	Yes	en	Ireland
Extra Large	Mac OS X	search_traffic	2	No	en-gb	United Kingdom
Extra Large	Mac OS X	search_traffic	1	No	en-us	Colombia
Extra Small	Android	direct_traffic	2	No	en-us	Brazil
Extra Small	iOS	search_traffic	1	No	en-us	United States
Extra Small	Android	search_traffic	2	No	en-gb	New Zealand
Extra Large	Windows New	search_traffic	2	No	en-au	Australia
Extra Small	Android	search_traffic	2	No	en-gb	Myanmar
Large	Windows New	unknown	2	No	en-us	United States
Extra Small	iOS	unknown	2	No	en-ca	Canada
Extra Large	Windows New	search_traffic	1	No	en-us	Australia
Extra Small	Android	search_traffic	2	No	en-gb	Kuwait
Extra Large	Windows New	search_traffic	2	No	en-us	Saudi Arabia
Extra Large	Windows New	search_traffic	2	No	en-us	United States
Extra Small	iOS	unknown	1	No	en-us	Ireland
Extra Small	iOS	search_traffic	2	No	en-gb	Singapore
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Small	iOS	search_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	United Arab Emirates
Extra Small	iOS	search_traffic	1	No	en-us	Japan
Medium	iOS	search_traffic	2	No	en-gb	Japan
Extra Large	Windows New	unknown	2	No	pt-br	Brazil
Extra Large	Windows New	search_traffic	1	No	en-us	Canada
Extra Small	Android	search_traffic	2	No	en-gb	Saudi Arabia
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Small	iOS	search_traffic	1	No	en-us	India
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Small	iOS	search_traffic	1	No	en-us	United States
Extra Small	Android	search_traffic	1	Yes	en-us	India
Extra Large	Windows New	unknown	1	No	en-us	France
Extra Small	Android	direct_traffic	2	No	en	United States
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Small	Android	search_traffic	1	No	en-gb	United States
Extra Small	Android	unknown	1	No	en-us	Mongolia
Extra Large	Windows New	search_traffic	1	No	pl-pl	Iceland
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	pl-pl	Poland
Extra Large	Windows New	search_traffic	1	No	en-us	South Africa
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Large	Mac OS X	search_traffic	2	No	en-us	Israel
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Small	Android	unknown	2	No	es-419	Mexico
Extra Large	Windows New	search_traffic	2	No	en-us	Qatar
Extra Large	Windows New	direct_traffic	1	No	es-es	Spain
Extra Large	Mac OS X	search_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Large	Windows New	direct_traffic	2	No	en-us	Norway
Extra Small	iOS	search_traffic	1	No	en-us	Czech Republic
Extra Small	Android	search_traffic	2	No	en-gb	India
Extra Large	Mac OS X	unknown	1	No	en-us	India
Extra Large	Windows New	direct_traffic	1	No	pt-br	Brazil
Extra Small	Android	direct_traffic	1	No	en	Europe
Extra Small	Android	unknown	2	No	en-us	Ghana
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Large	Windows New	unknown	2	No	en-us	Nigeria
Extra Small	Android	unknown	2	No	en-us	Qatar
Extra Small	iOS	search_traffic	1	No	en-us	Albania
Extra Large	Mac OS X	search_traffic	1	No	en-gb	United Kingdom
Medium	iOS	search_traffic	2	No	en-us	United States
Extra Small	Android	direct_traffic	1	No	en	South Africa
Extra Small	Android	search_traffic	2	No	en-us	United States
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Small	Android	search_traffic	2	No	en-us	Nepal
Extra Small	Android	unknown	1	No	en-gb	India
Extra Large	Windows New	search_traffic	2	No	en-us	Austria
Extra Large	Mac OS X	search_traffic	2	No	en-us	Austria
Extra Small	iOS	search_traffic	1	No	en-us	India
Extra Large	Other	direct_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	2	Yes	en-us	India
Extra Small	Android	unknown	1	Yes	en-gb	Pakistan
Extra Small	Android	search_traffic	2	Yes	es	United States
Extra Large	Windows New	unknown	1	No	it-it	Italy
Extra Large	Windows New	search_traffic	1	No	en-us	India
Large	iOS	search_traffic	2	No	en-gb	United Kingdom
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Small	iOS	unknown	2	No	zh-tw	Hong Kong
Extra Small	Android	search_traffic	1	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	en-gb	Netherlands
Extra Large	Mac OS X	search_traffic	1	No	en-us	Brazil
Extra Large	Mac OS X	direct_traffic	1	No	en-us	Macedonia
Large	Windows New	search_traffic	2	No	en-us	Iraq
Extra Large	Windows New	search_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	United Arab Emirates
Extra Large	Mac OS X	search_traffic	1	No	fr	France
Extra Large	Windows New	unknown	1	No	en-gb	India
Extra Small	Android	unknown	1	No	en-us	India
Extra Large	Mac OS X	search_traffic	2	No	en-us	Malta
Extra Large	Windows New	search_traffic	1	No	en-us	Sweden
Extra Large	Mac OS X	search_traffic	1	No	en-ca	Canada
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Small	Other	search_traffic	2	No	en	United States
Extra Small	Android	search_traffic	1	No	en-us	United States
Extra Small	Android	search_traffic	2	No	en-in	India
Extra Large	Windows New	unknown	1	No	en-us	Poland
Extra Large	Windows New	search_traffic	1	No	el	Greece
Extra Small	iOS	search_traffic	1	No	en-us	United States
Extra Small	Android	search_traffic	2	No	pt	Brazil
Extra Large	Windows New	search_traffic	1	No	en-us	United Kingdom
Extra Small	Android	search_traffic	2	No	en-gb	Malaysia
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Windows New	direct_traffic	2	No	es-es	Colombia
Extra Small	Android	unknown	2	No	en-gb	India
Extra Large	Windows New	search_traffic	1	No	en-us	United States
Extra Small	Android	unknown	1	No	en-us	Lebanon
Large	Windows New	search_traffic	1	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Large	Windows New	unknown	2	No	en-us	Greece
Extra Large	Windows New	search_traffic	1	Yes	ru-ru	Cyprus
Medium	iOS	search_traffic	2	No	en-ca	Canada
Extra Large	Mac OS X	search_traffic	1	No	en-us	United States
Extra Small	iOS	search_traffic	2	No	ru-ru	Kazakhstan
Extra Large	Mac OS X	search_traffic	1	No	en-ca	Canada
Extra Small	iOS	unknown	2	No	en-us	India
Extra Large	Windows Old	search_traffic	1	No	en-us	Nepal
Extra Small	Android	search_traffic	2	No	en-us	Cameroon
Extra Small	Android	unknown	2	No	en-us	Europe
Extra Large	Mac OS X	search_traffic	2	No	en-us	Australia
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	Armenia
Extra Small	Android	search_traffic	1	No	en-us	India
Extra Large	Windows New	unknown	2	No	en-us	Nepal
Extra Small	Android	search_traffic	2	No	en-us	Canada
Extra Large	Windows New	unknown	2	Yes	en-us	Finland
Extra Small	iOS	search_traffic	1	No	en-us	Brazil
Extra Small	Android	unknown	2	No	en-gb	Pakistan
Extra Large	Windows New	search_traffic	2	No	en-us	Turkey
Extra Large	Windows New	search_traffic	2	No	ru-ru	Belarus
Extra Large	Windows New	unknown	2	No	en-us	Indonesia
Extra Large	Windows New	search_traffic	1	No	en-us	Latvia
Extra Small	Android	search_traffic	1	No	en-us	India
Extra Small	iOS	search_traffic	1	No	en-us	United States
Extra Large	Windows New	unknown	1	No	en-us	India
Extra Small	Android	search_traffic	1	No	en-us	India
Extra Small	iOS	search_traffic	1	No	en-us	Ghana
Extra Small	Android	search_traffic	2	No	ru-ru	Kazakhstan
Extra Small	iOS	search_traffic	1	No	en-us	India
Extra Small	iOS	unknown	2	No	en-us	South Africa
Extra Large	Windows New	search_traffic	1	No	ru-ru	Kazakhstan
Extra Large	Windows New	search_traffic	2	No	en-us	Bangladesh
Extra Large	Windows New	unknown	1	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	en-us	United States
Extra Small	Android	direct_traffic	2	No	en-us	Brazil
Extra Large	Mac OS X	unknown	2	No	en-us	United Kingdom
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Small	Android	search_traffic	2	No	en-gb	Nepal
Extra Small	iOS	search_traffic	2	No	en-us	Peru
Extra Small	Android	search_traffic	1	No	en-gb	India
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	Germany
Extra Small	Android	direct_traffic	1	No	en	United States
Extra Large	Mac OS X	search_traffic	1	No	en-us	Canada
Extra Large	Mac OS X	search_traffic	1	No	en-us	United States
Extra Small	Android	direct_traffic	2	No	en-us	United States
Large	Windows New	search_traffic	1	No	en-us	India
Extra Small	Android	unknown	1	No	en-gb	Russian Federation
Extra Large	Windows New	unknown	2	No	fr	Cameroon
Large	Windows New	search_traffic	1	No	bg-bg	Bulgaria
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	en-us	Nepal
Extra Large	Mac OS X	search_traffic	1	No	en-ca	Canada
Extra Small	iOS	search_traffic	2	No	en-gb	Ireland
Extra Small	iOS	search_traffic	2	No	ru-ru	Latvia
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Windows New	unknown	1	No	en-us	India
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Small	iOS	unknown	2	Yes	en-us	United States
Extra Small	Android	direct_traffic	2	No	en-us	Brazil
Extra Small	Android	direct_traffic	1	No	en-us	Brazil
Extra Small	Android	search_traffic	1	No	en-us	India
Large	Mac OS X	unknown	2	No	zh-tw	Taiwan
Extra Large	Windows New	unknown	1	No	en-us	India
Extra Large	Windows New	search_traffic	1	No	es-es	Spain
Extra Small	Android	search_traffic	2	No	en-gb	United Kingdom
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	1	No	en-us	United Kingdom
Extra Small	iOS	search_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	ar	Iraq
Extra Large	Windows New	search_traffic	1	No	en-us	Bangladesh
Extra Small	iOS	unknown	1	No	en-us	Pakistan
Extra Large	Windows New	search_traffic	1	No	en-us	Greece
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Small	Android	search_traffic	1	No	fr	France
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Small	Android	search_traffic	1	No	en-ca	Canada
Extra Large	Windows New	unknown	2	No	en-us	Netherlands
Extra Small	Android	unknown	2	No	en-us	Canada
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Large	Windows New	direct_traffic	1	No	en-us	Serbia
Extra Large	Windows New	search_traffic	1	No	en-us	Canada
Extra Large	Mac OS X	unknown	2	No	en-us	Canada
Extra Small	Android	search_traffic	2	No	en-us	United Kingdom
Extra Small	iOS	search_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Small	iOS	search_traffic	2	No	en-gb	United Kingdom
Extra Small	Android	search_traffic	2	No	en-us	India
Large	Android	search_traffic	1	No	en-us	Egypt
Extra Large	Windows New	unknown	1	No	fr-fr	France
Extra Large	Mac OS X	search_traffic	2	No	en-us	Australia
Medium	iOS	search_traffic	1	No	en-ca	Canada
Extra Small	Android	direct_traffic	2	No	pt-br	Colombia
Extra Small	iOS	search_traffic	2	No	en-gb	United Kingdom
Extra Small	iOS	search_traffic	2	No	en-gb	Bangladesh
Extra Small	iOS	direct_traffic	1	No	en-ie	Ireland
Extra Large	Windows New	unknown	2	No	en-us	United States
Extra Small	iOS	search_traffic	2	No	en-us	Romania
Extra Small	Other	search_traffic	2	No	en-gb	Europe
Extra Large	Windows New	unknown	1	No	en-us	Pakistan
Extra Large	Windows New	direct_traffic	2	No	en-us	Guyana
Extra Large	Windows New	search_traffic	1	No	en-us	United Arab Emirates
Extra Large	Windows New	search_traffic	1	No	en-us	United States
Extra Small	Android	unknown	2	Yes	en-gb	Nigeria
Extra Small	iOS	search_traffic	1	Yes	en-us	India
Extra Small	iOS	direct_traffic	1	No	en-sg	Malaysia
Extra Large	Windows New	search_traffic	2	No	en-us	United States
Extra Small	Android	search_traffic	2	No	en-us	Nigeria
Extra Small	Android	direct_traffic	2	No	en-gb	Taiwan
Extra Small	Android	direct_traffic	2	No	en-us	Brazil
Extra Small	iOS	search_traffic	1	No	en-us	India
Extra Small	iOS	search_traffic	2	No	en-au	Australia
Extra Small	Android	unknown	1	No	en-in	Poland
Extra Small	Android	search_traffic	1	No	en-us	Ethiopia
Extra Large	Windows New	search_traffic	2	No	en-us	United Kingdom
Extra Large	Windows New	unknown	1	No	en-us	Netherlands
Extra Small	Android	unknown	2	Yes	en-gb	Iraq
Extra Small	Android	search_traffic	2	No	en-gb	India
Extra Large	Windows New	search_traffic	1	No	nl-be	Netherlands
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Large	Linux	search_traffic	2	No	en-us	United Kingdom
Extra Large	Windows New	unknown	1	No	en-us	Qatar
Extra Large	Windows New	unknown	2	No	nl-nl	Netherlands
